競馬場,競走年月日,レース番号,レース名,単勝組番,単勝払戻金（円）,単勝人気,複勝組番1,複勝払戻金1（円）,複勝人気1,複勝組番2,複勝払戻金2（円）,複勝人気2,複勝組番3,複勝払戻金3（円）,複勝人気3,枠複組番1,枠複組番2,枠複払戻金（円）,枠複人気,枠単組番1,枠単組番2,枠単払戻金（円）,枠単人気,馬複組番1,馬複組番2,馬複払戻金（円）,馬複人気1,馬単組番1,馬単組番2,馬単払戻金（円）,馬単人気1,ワイド組番1馬番1,ワイド組番1馬番2,ワイド払戻金1（円）,ワイド人気1,ワイド組番2馬番1,ワイド組番2馬番2,ワイド払戻金2（円）,ワイド人気2,ワイド組番3馬番1,ワイド組番3馬番2,ワイド払戻金3（円）,ワイド人気3,３連複組番馬番1,３連複組番馬番2,３連複組番馬番3,３連複払戻金（円）,３連複人気,３連単組番馬番1,３連単組番馬番2,３連単組番馬番3,３連単払戻金（円）,３連単人気
盛岡,20260524,11,マグオート賞Ｃ１,4,930,4,4,160,3,2,130,2,5,110,1,2,4,930,4,,,,,2,4,930,3,4,2,2600,7,2,4,320,4,4,5,320,3,2,5,200,1,2,4,5,700,1,4,2,5,7410,17
盛岡,20260524,12,"第２７回 あすなろ賞オープン",4,180,1,4,110,1,9,120,2,8,140,3,4,8,290,1,,,,,4,9,400,1,4,9,610,1,4,9,190,1,4,8,240,2,8,9,330,4,4,8,9,520,1,4,9,8,1470,2
盛岡,20260525,1,Ｃ２,2,180,1,2,100,2,5,100,1,9,150,4,2,5,210,1,,,,,2,5,190,1,2,5,450,2,2,5,120,1,2,9,360,6,5,9,390,7,2,5,9,550,2,2,5,9,1840,5
盛岡,20260525,2,Ｃ２,4,210,1,4,140,1,3,890,9,9,190,4,3,4,9070,16,,,,,3,4,6170,17,4,3,8310,25,3,4,1510,16,4,9,290,3,3,9,5000,30,3,4,9,11810,32,4,3,9,48570,132
盛岡,20260525,3,Ｃ２六組,8,1870,5,8,610,7,9,330,4,5,360,5,7,8,1980,7,,,,,8,9,26110,29,8,9,34270,45,8,9,3680,24,5,8,2540,20,5,9,1600,17,5,8,9,52910,71,8,9,5,372750,356
盛岡,20260525,4,Ｃ２五組,6,400,2,6,140,2,9,230,5,8,120,1,6,7,350,1,,,,,6,9,3750,16,6,9,5600,19,6,9,1120,18,6,8,230,1,8,9,540,6,6,8,9,2220,7,6,9,8,22310,78
盛岡,20260525,5,Ｃ２四組,4,340,2,4,170,2,10,750,7,2,250,4,4,8,8440,16,,,,,4,10,6310,13,4,10,10230,23,4,10,1600,17,2,4,510,8,2,10,5930,31,2,4,10,16940,38,4,10,2,71010,144
盛岡,20260525,6,３歳Ｃ２三組,4,1490,5,4,230,5,6,630,7,11,120,1,4,5,10380,19,,,,,4,6,10810,20,4,6,20430,38,4,6,2230,20,4,11,520,6,6,11,610,8,4,6,11,5600,16,4,6,11,84170,181
盛岡,20260525,7,３歳Ｃ２二組,4,160,1,4,130,1,1,270,6,2,140,2,1,4,1790,6,,,,,1,4,1270,3,4,1,1900,4,1,4,340,2,2,4,190,1,1,2,580,10,1,2,4,1090,3,4,1,2,4730,9
盛岡,20260525,8,３歳Ｃ２一組,11,150,1,11,110,1,1,890,7,9,180,4,1,8,4190,10,,,,,1,11,4110,11,11,1,4840,14,1,11,1340,12,9,11,350,4,1,9,3920,24,1,9,11,11560,26,11,1,9,39250,84
盛岡,20260525,9,Ｃ１一組,2,150,1,2,110,1,7,220,4,1,140,2,2,6,740,3,,,,,2,7,1080,4,2,7,1160,5,2,7,320,4,1,2,190,1,1,7,730,9,1,2,7,1130,3,2,7,1,4480,10
盛岡,20260525,10,新緑賞Ｃ１,8,390,2,8,130,2,1,250,6,12,110,1,1,6,2080,7,,,,,1,8,3000,10,8,1,4840,15,1,8,650,9,8,12,180,1,1,12,310,4,1,8,12,1240,4,8,1,12,10700,29
盛岡,20260525,11,陽光特別Ａ二組,9,1210,5,9,430,6,6,470,7,2,220,3,6,8,2020,8,,,,,6,9,8100,25,9,6,17200,48,6,9,2230,25,2,9,920,15,2,6,920,16,2,6,9,12110,43,9,6,2,83170,265
盛岡,20260525,12,青葉特別Ａ一組,10,160,1,10,100,1,6,110,2,5,190,5,6,8,320,1,,,,,6,10,230,1,10,6,380,1,6,10,130,1,5,10,290,3,5,6,460,8,5,6,10,760,3,10,6,5,2040,4
浦和,20260525,1,Ｃ３七,4,11100,5,4,530,6,5,110,1,7,200,4,4,5,2630,6,4,5,12770,20,4,5,2250,5,4,5,16350,23,4,5,540,6,4,7,2130,15,5,7,220,2,4,5,7,2810,8,4,5,7,69180,106
浦和,20260525,2,ランチタイム３歳二,2,170,1,2,140,2,5,240,4,7,440,7,2,5,1510,8,2,5,2160,8,2,5,1270,3,2,5,1950,6,2,5,370,3,2,7,1290,15,5,7,2070,23,2,5,7,9310,29,2,5,7,30570,100
浦和,20260525,3,ドリームチャレンジ２歳新馬イ,2,1570,4,2,460,4,4,240,3,,,,,,,,,,,,2,4,1110,6,2,4,3970,12,2,4,390,5,2,5,460,6,4,5,250,3,2,4,5,1290,4,2,4,5,11140,30
浦和,20260525,4,ドリームチャレンジ２歳新馬ウ,3,260,2,3,110,2,5,100,1,,,,,,,,,,,,3,5,150,1,3,5,490,2,3,5,110,1,1,3,230,4,1,5,170,2,1,3,5,250,1,3,5,1,1330,4
浦和,20260525,5,３歳三,10,1620,7,10,300,6,2,340,7,9,170,2,2,7,1590,7,7,2,2330,10,2,10,5460,23,10,2,14050,50,2,10,2010,26,9,10,770,8,2,9,1270,15,2,9,10,7580,26,10,2,9,64570,244
浦和,20260525,6,"Ｃ２三 四",7,1000,4,7,240,5,9,150,1,2,260,7,6,7,510,2,6,7,1470,6,7,9,1370,6,7,9,2610,9,7,9,330,2,2,7,1570,23,2,9,780,11,2,7,9,4500,23,7,9,2,26700,106
浦和,20260525,7,"Ｃ２三 四",2,620,3,2,190,4,8,120,1,9,240,6,2,7,440,2,2,7,1480,6,2,8,580,2,2,8,1400,5,2,8,240,2,2,9,1000,12,8,9,410,6,2,8,9,1880,7,2,8,9,13480,42
浦和,20260525,8,Ｃ１四,4,330,1,4,150,1,7,300,5,3,1190,10,4,6,580,1,4,6,1310,3,4,7,1330,7,4,7,2480,10,4,7,540,6,3,4,2690,24,3,7,4970,37,3,4,7,15480,47,4,7,3,43260,143
浦和,20260525,9,サツキツツジ特別Ｃ３一,7,320,2,7,140,2,4,130,1,1,190,5,4,6,220,1,6,4,520,1,4,7,470,1,7,4,870,2,4,7,270,1,1,7,650,8,1,4,400,5,1,4,7,1340,3,7,4,1,4700,7
浦和,20260525,10,薫風（くんぷう）特別Ｂ３四Ｃ１一,3,360,2,3,160,1,6,810,11,11,220,4,3,5,3540,14,3,5,6030,23,3,6,9440,32,3,6,8060,30,3,6,2540,30,3,11,530,3,6,11,3500,42,3,6,11,19060,72,3,6,11,112930,376
浦和,20260525,11,田草月（たぐさづき）特別Ｂ２Ｂ３選抜馬,9,890,3,9,330,7,1,420,8,8,120,1,1,7,11830,19,7,1,28290,34,1,9,14020,29,9,1,25980,55,1,9,3790,32,8,9,450,4,1,8,740,9,1,8,9,7920,27,9,1,8,75800,208
浦和,20260525,12,エメラルド特別Ｃ１選抜馬ア,4,340,1,4,160,4,12,150,3,1,140,1,4,8,610,3,4,8,1120,2,4,12,650,1,4,12,1310,2,4,12,290,1,1,4,330,3,1,12,450,7,1,4,12,1100,2,4,12,1,5300,6
船橋,20260504,1,３歳二,11,1050,4,11,140,4,5,130,2,10,130,1,5,8,310,1,8,5,640,1,5,11,1470,5,11,5,4580,18,5,11,400,6,10,11,350,4,5,10,180,1,5,10,11,970,2,11,5,10,14010,52
船橋,20260504,2,Ｃ３四,6,170,1,6,110,1,5,110,2,1,140,4,5,6,260,1,6,5,380,1,5,6,260,1,6,5,430,1,5,6,140,1,1,6,190,3,1,5,270,4,1,5,6,370,1,6,5,1,1040,1
船橋,20260504,3,"Ｃ２二 三 四ア",8,760,3,8,220,5,5,130,1,4,460,7,5,6,610,3,6,5,2000,9,5,8,730,3,8,5,2100,8,5,8,370,4,4,8,3400,31,4,5,700,9,4,5,8,8930,33,8,5,4,55610,175
船橋,20260504,4,"Ｃ２二 三 四イ",9,110,1,9,100,1,7,300,6,5,170,3,6,7,940,5,7,6,1120,4,7,9,830,5,9,7,960,5,7,9,400,5,5,9,240,3,5,7,1100,13,5,7,9,1550,9,9,7,5,3770,16
船橋,20260504,5,"Ｃ１四 五",7,240,1,7,170,2,9,810,8,6,240,4,6,7,850,5,6,7,1270,2,7,9,6870,21,7,9,6910,25,7,9,1920,19,6,7,510,6,6,9,2520,25,6,7,9,10340,34,7,9,6,50070,165
船橋,20260504,6,"Ｃ１四 五",10,330,2,10,160,2,5,320,5,9,160,3,5,7,1000,4,7,5,1650,7,5,10,2030,8,10,5,3040,12,5,10,860,9,9,10,340,3,5,9,870,10,5,9,10,3630,10,10,5,9,13590,32
船橋,20260504,7,"馬い！実況ありがとう記念Ｃ２二 三 四ウ",9,460,2,9,150,2,11,540,8,12,120,1,7,8,270,1,7,8,1110,4,9,11,6550,16,9,11,8820,28,9,11,1760,18,9,12,240,2,11,12,980,12,9,11,12,2860,10,9,11,12,32110,95
船橋,20260504,8,牡牛座スプリントＢ３選抜馬ア,7,450,2,7,170,2,1,310,4,10,470,6,1,6,890,4,6,1,1020,5,1,7,3390,9,7,1,6380,15,1,7,990,9,7,10,1400,14,1,10,2320,24,1,7,10,10590,34,7,1,10,55500,153
船橋,20260504,9,みどりの日特別Ｃ２一,9,320,2,9,110,2,7,110,1,6,150,3,5,6,270,1,6,5,570,2,7,9,290,1,9,7,630,2,7,9,160,1,6,9,390,5,6,7,320,3,6,7,9,750,2,9,7,6,2690,3
船橋,20260504,10,ヤマブキスプリント３歳未格選抜馬,1,1280,6,1,280,6,9,130,1,4,150,3,1,8,1200,6,1,8,3500,16,1,9,1090,5,1,9,3280,14,1,9,420,6,1,4,550,10,4,9,230,1,1,4,9,1020,2,1,9,4,9960,34
船橋,20260504,11,エメラルドマイルＢ３二,12,100,1,12,100,1,11,180,3,5,110,2,8,8,660,4,8,8,730,4,11,12,700,2,12,11,740,2,11,12,260,2,5,12,140,1,5,11,620,10,5,11,12,860,1,12,11,5,2770,7
船橋,20260504,12,立夏賞Ｃ３選抜馬,4,410,2,4,160,2,5,210,4,11,170,3,4,5,2150,7,4,5,4060,11,4,5,1850,6,4,5,3260,10,4,5,410,5,4,11,280,3,5,11,660,8,4,5,11,2120,5,4,5,11,13490,41
船橋,20260505,1,ＨＥＡＲＴ　ＢＥＡＴ　ＤＡＹＳ賞３歳四,11,1230,5,11,420,6,9,170,2,12,1210,9,7,8,1330,6,8,7,3110,13,9,11,2210,9,11,9,5680,22,9,11,1120,11,11,12,4770,31,9,12,2990,24,9,11,12,20060,53,11,9,12,98540,257
船橋,20260505,2,ハートは、高鳴っているか賞Ｃ３三,10,180,1,10,100,1,5,130,2,7,450,6,5,7,290,1,7,5,430,1,5,10,280,1,10,5,400,1,5,10,210,1,7,10,1330,13,5,7,1780,15,5,7,10,3140,10,10,5,7,6900,19
船橋,20260505,3,ハートは、震えているか賞３歳２６６～４５１Ｐ選抜馬,8,140,1,8,120,1,7,190,4,1,490,8,6,6,640,3,6,6,600,2,7,8,610,2,8,7,700,2,7,8,300,2,1,8,750,8,1,7,1990,25,1,7,8,3410,14,8,7,1,7040,22
船橋,20260505,4,菖蒲賞３歳三,12,1280,6,12,230,5,11,160,2,9,120,1,8,8,2520,12,8,8,2720,9,11,12,2570,12,12,11,6760,26,11,12,650,8,9,12,500,6,9,11,310,1,9,11,12,2210,5,12,11,9,21170,65
船橋,20260505,5,鯉のぼり賞Ｃ３二組下選抜馬,12,250,1,12,120,1,11,280,5,7,140,2,7,8,1320,6,8,7,2120,9,11,12,1850,6,12,11,2800,8,11,12,470,6,7,12,200,1,7,11,630,8,7,11,12,1290,2,12,11,7,6510,12
船橋,20260505,6,端午の節句スプリントＣ１選抜馬イ,3,390,2,3,160,3,5,370,6,12,150,1,3,5,3060,12,3,5,3460,16,3,5,4790,15,3,5,6760,20,3,5,1470,18,3,12,330,2,5,12,910,11,3,5,12,3560,13,3,5,12,28260,88
船橋,20260505,7,こどもの日スプリントＣ１選抜馬ア,5,1190,5,5,210,4,4,150,1,7,150,2,4,5,700,2,5,4,1710,6,4,5,1910,8,5,4,4630,17,4,5,760,11,5,7,750,10,4,7,290,2,4,5,7,2790,8,5,4,7,23060,72
船橋,20260505,8,馬い！サンサンエッグつめ放題記念Ｂ３選抜馬イ,12,370,1,12,160,2,11,180,3,5,680,9,8,8,830,4,8,8,870,2,11,12,750,1,12,11,1390,1,11,12,370,3,5,12,1970,24,5,11,1910,21,5,11,12,7020,19,12,11,5,24840,72
船橋,20260505,9,ゴーゴーマイルＢ２一,12,160,1,12,100,1,4,210,4,10,120,2,4,8,440,2,8,4,640,3,4,12,1150,4,12,4,1560,5,4,12,320,3,10,12,170,1,4,10,470,6,4,10,12,820,1,12,4,10,4050,8
船橋,20260505,10,潮干狩りダッシュＢ３選抜馬,3,360,1,3,140,1,11,270,5,6,250,4,3,7,880,2,3,7,1260,3,3,11,1740,6,3,11,3140,9,3,11,490,4,3,6,610,7,6,11,1260,19,3,6,11,4300,12,3,11,6,22720,61
船橋,20260505,11,"第３８回 かしわ記念（指定交流）JpnＩ４上オープン",10,500,3,10,130,2,8,100,1,3,240,5,6,7,320,1,7,6,820,3,8,10,310,1,10,8,880,3,8,10,170,1,3,10,600,8,3,8,380,5,3,8,10,1010,3,10,8,3,4980,16
船橋,20260505,12,２０２６ＪｏｃｋｅｙｓＦｅｓｔｉｖａｌ（１ｓｔ）Ｃ２選抜馬,7,640,4,7,230,4,10,190,2,9,2410,12,5,6,1000,5,5,6,2440,11,7,10,1130,7,7,10,2400,10,7,10,400,3,7,9,6700,45,9,10,5510,41,7,9,10,28570,72,7,10,9,107390,276
船橋,20260506,1,Ｃ３二,9,120,1,9,100,1,5,120,2,11,130,3,5,7,350,2,7,5,190,1,5,9,330,2,9,5,360,1,5,9,140,1,9,11,140,2,5,11,270,4,5,9,11,300,1,9,5,11,1040,2
船橋,20260506,2,Ｃ３選抜馬,6,510,3,6,180,2,8,270,7,12,210,3,5,6,730,2,5,6,1320,4,6,8,1040,3,6,8,1900,3,6,8,620,7,6,12,700,9,8,12,830,14,6,8,12,3010,12,6,8,12,14800,41
船橋,20260506,3,３歳２６６Ｐ未満選抜馬,2,900,3,2,210,4,4,230,6,8,100,1,2,4,5020,12,2,4,9710,20,2,4,4990,14,2,4,11140,19,2,4,1150,18,2,8,260,2,4,8,300,4,2,4,8,1300,3,2,4,8,20570,69
船橋,20260506,4,いるかスプリントＣ２選抜馬ア,6,470,2,6,130,2,8,120,1,12,140,3,5,6,500,1,5,6,1190,2,6,8,680,2,6,8,1360,3,6,8,230,1,6,12,500,6,8,12,320,3,6,8,12,1230,2,6,8,12,6900,7
船橋,20260506,5,たんぽぽ特別３歳一,2,240,1,2,150,3,9,140,2,1,390,7,2,8,530,3,2,8,1370,4,2,9,1680,7,2,9,2790,11,2,9,580,5,1,2,1270,15,1,9,1650,18,1,2,9,7460,26,2,9,1,22730,85
船橋,20260506,6,五月雨ダッシュＣ２選抜馬,10,4920,11,10,890,11,5,180,3,12,160,2,4,6,2330,10,6,4,4740,24,5,10,10250,31,10,5,30100,78,5,10,2860,33,10,12,2550,28,5,12,410,3,5,10,12,12870,43,10,5,12,144060,453
船橋,20260506,7,"馬い！熊本不知火オレンジ記念Ｃ１二 三",10,160,1,10,110,1,5,130,2,1,340,9,5,7,220,1,7,5,260,1,5,10,390,1,10,5,510,1,5,10,220,1,1,10,710,11,1,5,1100,16,1,5,10,2220,7,10,5,1,4620,5
船橋,20260506,8,ネモフィラスプリントＢ２Ｂ３選抜馬,10,450,3,10,160,2,8,190,4,12,410,6,6,7,390,2,7,6,820,4,8,10,1050,5,10,8,1880,9,8,10,320,4,10,12,1400,14,8,12,1710,18,8,10,12,6730,22,10,8,12,23390,64
船橋,20260506,9,"薫風賞Ｃ１二 三",11,740,4,11,230,4,3,160,2,8,2450,11,3,8,1170,5,8,3,3500,16,3,11,1430,5,11,3,4050,18,3,11,650,6,8,11,12470,52,3,8,7670,46,3,8,11,52360,108,11,3,8,210430,491
船橋,20260506,10,クチナシスプリントＢ２選抜馬,11,140,1,11,100,1,1,220,4,7,190,3,1,8,910,5,8,1,1070,5,1,11,910,4,11,1,1160,6,1,11,400,4,7,11,370,2,1,7,1410,14,1,7,11,2570,9,11,1,7,6270,21
船橋,20260506,11,"第４０回 東京湾カップ３歳オープン",9,740,4,9,210,3,7,550,9,5,150,1,5,6,2090,9,6,5,4800,24,7,9,9860,40,9,7,17710,71,7,9,1770,25,5,9,350,1,5,7,1020,14,5,7,9,5750,17,9,7,5,63210,228
船橋,20260506,12,新緑特別Ｂ２Ｂ３選抜馬,11,920,5,11,260,4,9,310,5,10,500,7,6,7,2250,9,7,6,4270,17,9,11,3160,12,11,9,6470,21,9,11,1150,13,10,11,1910,24,9,10,2170,26,9,10,11,15710,47,11,9,10,71140,207
船橋,20260507,1,３歳七,6,180,1,6,100,1,10,200,5,5,130,2,5,7,740,5,5,7,1200,5,6,10,940,4,6,10,1680,5,6,10,350,4,5,6,190,1,5,10,540,7,5,6,10,1100,3,6,10,5,5640,13
船橋,20260507,2,３歳六,1,150,1,1,110,1,3,130,2,10,140,4,1,3,270,1,1,3,440,1,1,3,360,1,1,3,470,1,1,3,220,2,1,10,270,3,3,10,490,6,1,3,10,770,2,1,3,10,1800,1
船橋,20260507,3,"Ｃ２七 八 九ア",11,990,2,11,210,2,7,340,3,1,940,8,6,8,2890,7,8,6,7520,10,7,11,3730,8,11,7,10460,14,7,11,790,7,1,11,2150,18,1,7,3870,26,1,7,11,25270,42,11,7,1,100610,142
船橋,20260507,4,３歳五,1,290,2,1,110,1,9,160,3,4,460,8,1,7,700,3,1,7,1430,7,1,9,770,2,1,9,1140,3,1,9,360,2,1,4,1320,18,4,9,2650,27,1,4,9,6330,20,1,9,4,20140,62
船橋,20260507,5,"Ｃ２七 八 九ウ",10,290,1,10,120,1,1,170,3,9,130,2,1,7,510,1,7,1,1030,3,1,10,890,2,10,1,1530,3,1,10,310,2,9,10,290,1,1,9,390,4,1,9,10,1060,1,10,1,9,4320,1
船橋,20260507,6,"馬い！淡路洲本農園しまにしき玉ねぎ記念Ｃ２七 八 九イ",8,300,1,8,120,1,7,130,2,11,250,6,6,6,510,3,6,6,430,1,7,8,450,1,8,7,650,1,7,8,230,1,8,11,670,11,7,11,660,9,7,8,11,1770,6,8,7,11,5650,11
船橋,20260507,7,ナイスサドル特別３歳未格選抜馬ＪＲＡ所属馬,3,1650,7,3,360,7,9,140,1,6,170,3,3,7,1310,6,3,7,4340,20,3,9,2790,15,3,9,7920,33,3,9,780,13,3,6,870,16,6,9,340,2,3,6,9,3100,12,3,9,6,36450,156
船橋,20260507,8,閃光スプリントＡ２Ｂ１選抜馬,2,140,1,2,100,1,5,110,2,3,130,4,,,,,,,,,2,5,350,1,2,5,550,2,2,5,150,1,2,3,190,2,3,5,410,7,2,3,5,550,1,2,5,3,1510,1
船橋,20260507,9,菜の花スプリントＣ２選抜馬イ,11,440,2,11,130,2,10,110,1,8,220,5,7,8,190,1,8,7,610,2,10,11,240,1,11,10,740,3,10,11,160,1,8,11,520,7,8,10,260,2,8,10,11,780,2,11,10,8,4880,12
船橋,20260507,10,群青特別Ａ２Ｂ１一,6,640,4,6,240,5,8,390,8,10,230,4,6,7,690,2,6,7,1610,6,6,8,4320,19,6,8,8430,38,6,8,1350,22,6,10,900,12,8,10,1110,15,6,8,10,10080,44,6,8,10,50630,210
船橋,20260507,11,天真爛漫賞Ｂ２二Ｂ３一,11,320,1,11,130,1,6,300,7,8,140,2,4,7,890,5,7,4,1200,5,6,11,2040,9,11,6,4480,20,6,11,1050,17,8,11,300,1,6,8,690,9,6,8,11,3410,10,11,6,8,20430,72
船橋,20260507,12,イチゴ特別Ｃ１選抜馬,8,160,1,8,110,1,13,150,3,6,140,2,6,8,310,1,6,8,500,1,8,13,470,2,8,13,710,2,8,13,240,2,6,8,220,1,6,13,360,4,6,8,13,540,1,8,13,6,1850,2
船橋,20260508,1,３歳九未受賞,5,440,3,5,210,3,6,120,1,,,,,,,,,,,,5,6,340,1,5,6,1070,4,5,6,180,1,3,5,1520,14,3,6,1000,11,3,5,6,4240,13,5,6,3,14770,60
船橋,20260508,2,３歳八,9,180,1,9,160,2,1,230,4,3,900,7,1,8,630,2,8,1,1020,2,1,9,670,2,9,1,920,2,1,9,400,5,3,9,920,14,1,3,3160,21,1,3,9,4030,18,9,1,3,9570,37
船橋,20260508,3,スズランデビュー２歳新馬イ,6,440,2,6,110,2,2,110,1,,,,,,,,,,,,2,6,240,2,6,2,660,3,2,6,110,1,3,6,170,4,2,3,140,2,2,3,6,160,1,6,2,3,1220,3
船橋,20260508,4,スズランデビュー２歳新馬ア,1,690,3,1,170,3,2,120,1,,,,,,,,,,,,1,2,650,2,1,2,1470,7,1,2,230,3,1,3,1150,9,2,3,690,8,1,2,3,2000,6,1,2,3,11610,29
船橋,20260508,5,びわ特別Ｃ３一,6,230,1,6,150,1,4,930,9,11,380,6,4,5,6560,13,5,4,7880,18,4,6,5990,16,6,4,7200,26,4,6,1730,17,6,11,670,8,4,11,3780,36,4,6,11,14830,45,6,4,11,46120,155
船橋,20260508,6,"Ｃ２五 六",5,1260,6,5,250,5,4,210,4,12,180,3,4,5,2960,12,5,4,7250,24,4,5,2880,14,5,4,6060,27,4,5,1050,16,5,12,830,11,4,12,520,6,4,5,12,3580,16,5,4,12,29130,120
船橋,20260508,7,"馬い！山武たがやす倶楽部記念Ｃ２五 六",10,220,1,10,100,1,5,170,4,7,120,2,5,7,320,1,7,5,510,2,5,10,1130,4,10,5,1410,4,5,10,410,5,7,10,180,1,5,7,430,6,5,7,10,1040,2,10,5,7,3930,9
船橋,20260508,8,琥珀ダッシュＣ１選抜馬,7,200,1,7,130,1,12,160,3,4,160,4,5,7,520,2,5,7,850,3,7,12,620,2,7,12,1120,3,7,12,330,3,4,7,320,2,4,12,670,8,4,7,12,1610,4,7,12,4,4790,9
船橋,20260508,9,ベルフラワースプリントＢ１Ｂ２選抜馬,7,470,3,7,120,3,8,110,1,11,120,2,6,6,570,2,6,6,620,3,7,8,550,2,7,8,1600,5,7,8,200,2,7,11,310,5,8,11,190,1,7,8,11,430,1,7,8,11,3950,9
船橋,20260508,10,五香特別Ｃ１一,2,3180,10,2,360,7,7,130,1,9,170,3,2,5,2710,10,2,5,7090,24,2,7,3260,12,2,7,9660,33,2,7,800,9,2,9,1110,14,7,9,310,2,2,7,9,3480,11,2,7,9,48660,170
船橋,20260508,11,皐月盃４上オープン,5,470,3,5,150,3,4,110,1,7,210,4,3,4,260,1,4,3,580,2,4,5,510,2,5,4,1320,5,4,5,260,2,5,7,480,6,4,7,370,3,4,5,7,1380,3,5,4,7,6770,16
船橋,20260508,12,２０時５０分にビッグチャンスＢ１二,11,140,1,11,110,1,7,2270,12,8,350,6,5,7,1120,5,7,5,1060,4,7,11,15120,30,11,7,15730,37,7,11,4650,31,8,11,540,4,7,8,17660,62,7,8,11,46810,90,11,7,8,127400,276
大井,20260501,1,"３歳四 五",5,480,3,5,150,2,3,160,3,9,270,5,3,5,700,3,5,3,1780,6,3,5,870,3,5,3,1910,6,3,5,410,4,5,9,840,11,3,9,680,8,3,5,9,2930,9,5,3,9,12820,40
大井,20260501,2,"３歳四 五",3,2920,6,3,430,7,11,210,3,7,120,1,3,7,8080,18,3,7,20330,45,3,11,9960,21,3,11,19500,40,3,11,1410,16,3,7,620,7,7,11,310,2,3,7,11,4240,13,3,11,7,74600,186
大井,20260501,3,"３歳一 二 三",7,540,2,7,150,3,10,220,4,9,140,2,7,8,700,3,7,8,1760,7,7,10,3100,10,7,10,6360,15,7,10,830,9,7,9,440,5,9,10,620,8,7,9,10,2880,12,7,10,9,21830,70
大井,20260501,4,"３歳一 二 三",8,420,2,8,100,2,5,100,1,6,110,3,,,,,,,,,5,8,220,1,8,5,700,3,5,8,130,1,6,8,200,4,5,6,150,2,5,6,8,230,1,8,5,6,1500,4
大井,20260501,5,２歳新馬,5,820,4,5,340,4,2,240,2,,,,,,,,,,,,2,5,1200,7,5,2,3070,14,2,5,290,7,4,5,180,2,2,4,200,3,2,4,5,660,4,5,2,4,7150,33
大井,20260501,6,"Ｃ２二 三 四",10,1510,5,10,380,6,11,170,2,6,210,4,7,8,3150,10,7,8,6420,21,10,11,5100,13,10,11,11450,30,10,11,1490,17,6,10,1260,12,6,11,650,8,6,10,11,7140,25,10,11,6,51950,166
大井,20260501,7,"Ｃ２二 三 四",7,590,2,7,130,2,1,110,1,,,,,,,,,,,,1,7,150,1,7,1,900,4,1,7,140,1,3,7,1150,14,1,3,730,11,1,3,7,1400,5,7,1,3,10000,26
大井,20260501,8,"ジン・バック賞Ｃ２二 三 四",7,110,1,7,100,1,8,370,6,6,300,5,7,7,1410,5,7,7,1530,6,7,8,1680,6,7,8,2000,7,7,8,480,5,6,7,370,4,6,8,4100,28,6,7,8,5860,17,7,8,6,15810,46
大井,20260501,9,"あおば特別３歳一 二 三選抜",3,100,1,3,100,1,7,140,2,,,,,,,,,,,,3,7,200,1,3,7,230,1,3,7,120,1,3,5,360,7,5,7,750,11,3,5,7,800,4,3,7,5,1430,5
大井,20260501,10,権現坂賞Ｂ３一選抜特別,8,360,3,8,140,2,7,160,3,6,190,5,7,7,570,3,7,7,580,2,7,8,540,1,8,7,1020,2,7,8,260,2,6,8,430,7,6,7,410,6,6,7,8,930,2,8,7,6,3970,7
大井,20260501,11,春風賞Ｂ１二Ｂ２一選抜特別,8,130,1,8,100,1,5,140,2,6,190,5,5,7,340,1,7,5,460,1,5,8,360,1,8,5,410,1,5,8,180,1,6,8,380,5,5,6,890,11,5,6,8,1740,5,8,5,6,3460,8
大井,20260501,12,スピカ賞Ｂ２三選抜特別,16,610,3,16,210,4,3,150,2,8,140,1,2,8,1380,6,8,2,3170,13,3,16,1390,6,16,3,3060,12,3,16,480,6,8,16,440,3,3,8,270,1,3,8,16,1210,1,16,3,8,9640,18
大井,20260518,1,"３歳１１ １２",1,110,1,1,110,1,9,170,3,10,320,6,1,7,480,2,1,7,570,2,1,9,940,4,1,9,1010,5,1,9,420,4,1,10,450,5,9,10,2970,29,1,9,10,4710,17,1,9,10,9400,33
大井,20260518,2,"３歳１１ １２",12,140,1,12,110,1,9,2710,13,13,200,3,6,7,740,3,7,6,860,4,9,12,10390,17,12,9,17900,32,9,12,2990,21,12,13,280,2,9,13,9410,48,9,12,13,15330,35,12,9,13,98100,191
大井,20260518,3,２歳新馬,5,160,1,5,130,1,7,280,4,,,,,,,,,,,,5,7,1000,5,5,7,920,4,5,7,290,3,1,5,180,2,1,7,320,5,1,5,7,750,2,5,7,1,3240,12
大井,20260518,4,２歳新馬,5,360,2,5,140,2,7,120,1,,,,,,,,,,,,5,7,320,1,5,7,810,2,5,7,190,1,2,5,510,9,2,7,410,6,2,5,7,1320,5,5,7,2,5060,20
大井,20260518,5,"Ｃ２十一 十二 十三",4,790,5,4,260,5,5,180,2,2,900,9,4,5,1450,7,4,5,3720,19,4,5,1520,6,4,5,3770,14,4,5,610,7,2,4,3020,29,2,5,2310,24,2,4,5,13560,47,4,5,2,64910,226
大井,20260518,6,"Ｃ２十一 十二 十三",11,900,3,11,230,4,13,200,2,4,250,5,7,8,3010,10,7,8,8610,17,11,13,2330,6,11,13,6920,18,11,13,590,6,4,11,970,9,4,13,1800,17,4,11,13,7050,22,11,13,4,44300,111
